System_Time,Simulation_Time,Time_Difference,Successful_Wave_Launch,Keyboard_Input,X_cop,Y_cop,X_copFiltered,Y_copFiltered,Total_Force,L_Camera_x,L_Camera_y,L_Camera_z,R_Camera_x,R_Camera_y,R_Camera_z,Motion_PLatform_Surge,Motion_Platform_Sway,Motion_Platform_Heave,Motion_Platform_Roll,Motion_Platform_Pitch,Motion_Platform_Yaw,Surfboard_Position_x,Surfboard_Position_y,Surfboard_Position_z,Surfboard_Rotation_x,Surfboard_Rotation_y,Surfboard_Rotation_z,Surfboard_LocalFwdVelocity,Headset_Position_x,Headset_Position_y,Headset_Position_z,Headset_Rotation_x,Headset_Rotation_y,Headset_Rotation_z,Left_HandAnchor_Position_x,Left_HandAnchor_Position_y,Left_HandAnchor_Position_z,Left_HandAnchor_Rotation_x,Left_HandAnchor_Rotation_y,Left_HandAnchor_Rotation_z,Right_HandAnchor_Position_x,Right_HandAnchor_Position_y,Right_HandAnchor_Position_z,Right_HandAnchor_Rotation_x,Right_HandAnchor_Rotation_y,Right_HandAnchor_Rotation_z
12:07:10,38.46674,0.2845268,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08500592,0,9.481607E-06,-5.044338E-06,3.235962E-07,-1.438245E-08,188.9058,0.08376432,412.9733,-0.0002883642,253.8222,-1.940432E-05,0.006684174,188.6413,1.527461,412.9963,36.41595,302.2862,5.678076,188.4705,1.258678,412.7567,345.1375,249.0677,8.026332,188.3559,1.206163,412.9521,338.3094,249.5051,354.9337
12:07:10,38.48232,0.3001099,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0849544,0,9.578378E-06,-5.032907E-06,3.386696E-07,-1.493558E-08,188.9057,0.08376433,412.9732,-0.0002878231,253.8222,-1.968608E-05,0.006673544,188.6412,1.527378,412.9972,36.42307,302.5178,5.667911,188.471,1.25913,412.7567,345.0545,249.0395,8.001481,188.3554,1.205877,412.9517,338.3557,249.3293,354.8445
12:07:10,38.50058,0.318367,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0849021,0,9.65191E-06,-5.023462E-06,3.435871E-07,-1.533741E-08,188.9056,0.08376434,412.9732,-0.0002873832,253.8222,-1.928056E-05,0.006662931,188.641,1.527265,412.9981,36.41855,302.7399,5.666869,188.4715,1.259625,412.7567,344.9949,249.0105,8.032366,188.3549,1.205739,412.9512,338.3666,249.1489,354.843
12:07:10,38.51358,0.3313675,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0849021,0,9.65191E-06,-5.023462E-06,3.435871E-07,-1.533741E-08,188.9056,0.08376434,412.9732,-0.0002873832,253.8222,-1.928056E-05,0.006662931,188.6409,1.527249,412.9991,36.41663,302.9296,5.669842,188.4722,1.260229,412.7566,344.9484,248.9866,8.023714,188.3543,1.20566,412.9504,338.3272,248.9356,354.8516
12:07:10,38.52431,0.3420944,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08484904,0,9.702429E-06,-5.015784E-06,3.365096E-07,-1.534192E-08,188.9055,0.08376434,412.9732,-0.0002870384,253.8222,-1.827913E-05,0.006652336,188.6407,1.527161,413.0001,36.39174,303.1045,5.658609,188.4733,1.261517,412.7565,344.8472,248.8396,7.864404,188.3532,1.205703,412.9492,338.2723,248.5431,354.8129
12:07:10,38.53801,0.355793,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08484904,0,9.702429E-06,-5.015784E-06,3.365096E-07,-1.534192E-08,188.9055,0.08376434,412.9732,-0.0002870384,253.8222,-1.827913E-05,0.006652336,188.6405,1.527066,413.0011,36.36601,303.2975,5.639687,188.4744,1.2627,412.7566,344.8377,248.6963,7.605679,188.3522,1.205904,412.948,338.2324,248.1007,354.6882
12:07:10,38.55069,0.3684807,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08479522,0,9.745048E-06,-5.009766E-06,3.190311E-07,-1.4872E-08,188.9053,0.08376435,412.9731,-0.0002867584,253.8222,-1.715535E-05,0.006641757,188.6399,1.527006,413.0022,36.36802,303.4236,5.558347,188.4758,1.265001,412.7566,344.8078,248.4822,7.286531,188.3509,1.206651,412.9463,338.1948,247.4669,354.5832
12:07:10,38.56618,0.3839684,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08474068,0,9.77984E-06,-5.004879E-06,2.994173E-07,-1.398099E-08,188.9052,0.08376436,412.9731,-0.0002864865,253.8222,-1.583745E-05,0.006631196,188.6395,1.526729,413.0033,36.34218,303.5374,5.51095,188.4765,1.266204,412.7567,344.6174,248.505,7.331906,188.3499,1.207366,412.9448,338.1017,247.023,354.8948
12:07:10,38.57925,0.3970413,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08474068,0,9.77984E-06,-5.004879E-06,2.994173E-07,-1.398099E-08,188.9052,0.08376436,412.9731,-0.0002864865,253.8222,-1.583745E-05,0.006631196,188.639,1.526438,413.0045,36.36605,303.6127,5.475635,188.4778,1.268575,412.757,344.3671,248.5465,7.245894,188.3489,1.208425,412.943,337.7319,246.4801,355.5096
12:07:10,38.59234,0.4101257,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08468536,0,9.79944E-06,-5.000134E-06,2.764161E-07,-1.302362E-08,188.9051,0.08376437,412.9731,-0.0002862322,253.8222,-1.429081E-05,0.006620651,188.6383,1.526186,413.0056,36.43886,303.6642,5.445323,188.4791,1.271386,412.7573,344.0691,248.4013,7.047364,188.3476,1.209476,412.9411,337.4286,245.8924,356.2103
